"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-49-AAR3-01A-11R-A41B-07",227,521,675,1000,1126,308,2020,6119,1469,981,18052,1459,866,3027,1258,227,7,234,1556,1694,1304,700,304,63,4681,232,579,4730,361,1157,5901,1440,3628,2701
"TCGA-55-8620-01A-11R-2403-07",1073,1406,527,2195,1954,876,1184,400,2277,2200,14175,619,1275,5002,1350,689,540,461,2092,2954,3073,1036,680,3535,4625,409,366,8699,542,1864,3450,3155,8049,2108
"TCGA-69-8255-01A-11R-2287-07",1128,1824,1207,1984,4385,941,7589,7436,4608,3333,85997,2746,4515,3992,2216,1568,40,1877,7761,7312,15135,1367,483,2121,12338,2217,475,18672,2128,2648,17880,4690,9603,6010
"TCGA-75-6207-01A-11R-1755-07",299,461,3117,1098,2851,1261,2695,6920,4548,2212,8084,539,1216,3847,924,617,4,603,2787,5390,6174,1174,1110,552,6700,238,434,10334,739,2139,4755,3447,3789,6556
"TCGA-62-A46Y-01A-11R-A24H-07",279,686,1232,670,4089,237,435,16853,2310,1285,14373,1724,662,2405,1754,336,67,466,1997,1406,1912,2307,1124,645,8646,177,101,10774,569,1354,5691,2367,3034,3469
"TCGA-NJ-A4YF-01A-12R-A262-07",240,548,113,1233,2642,299,316,8036,1213,1119,3750,334,380,4065,435,653,16,1218,1353,2885,1421,880,67,34,1987,268,17,10887,436,587,2619,1993,3198,3044
"TCGA-91-6830-01A-11R-1949-07",65,502,992,341,3335,314,770,6071,2224,793,19331,891,881,5000,1275,263,16,234,1094,1033,1003,1982,497,46,5973,65,120,11870,452,785,6492,2441,3921,2159
"TCGA-44-6778-01A-11R-1858-07",691,599,1573,910,3226,130,1590,2989,2561,6389,27501,2135,1033,3943,2292,320,85,515,1111,2260,3973,2274,795,376,8480,393,378,11604,789,1246,5275,3392,2591,2275
"TCGA-62-8395-01A-11R-2326-07",175,412,550,1034,4513,155,541,13100,4343,1093,7852,1411,589,6721,1271,106,7,1235,309,2529,3093,1863,481,93,9270,241,64,24971,674,247,6935,2370,5411,3530
"TCGA-49-4486-01A-01R-1206-07",76,238,947,977,3660,144,953,2568,3796,674,9578,3965,1030,7770,881,104,126,606,1069,3657,2975,3542,600,277,6005,102,12,24728,1066,540,4234,3884,4314,3962
"TCGA-44-6145-11A-01R-1858-07",34,208,1017,280,2729,35,983,9677,1432,614,4331,5516,682,19814,2000,19,62,177,135,845,5021,1863,1863,66,7707,20,12,17083,408,191,2839,2743,2012,1804
"TCGA-86-A4P8-01A-11R-A24X-07",102,540,2417,417,5124,81,2411,4965,4826,697,13755,2899,1012,4362,3933,48,35,372,224,1175,2123,2536,2408,52,11756,46,51,12675,418,274,9433,5574,4506,3035
"TCGA-78-7537-01A-11R-2066-07",107,683,802,483,4413,142,1222,13751,4144,885,7882,5906,1212,3675,1476,67,7,504,498,2877,1221,3493,1086,281,8790,172,50,32492,757,289,7642,2997,3268,3861
"TCGA-44-3919-01A-02R-1107-07",574,2277,1649,2766,5665,964,856,14700,5297,2486,48841,3221,2496,8793,3784,437,14,828,1446,4260,3198,2582,5241,6020,16706,319,350,36138,1057,1593,12041,5208,4473,3047
"TCGA-35-4123-01A-01R-1107-07",294,789,1515,651,1985,727,2102,14961,4346,1235,45768,1033,1639,7366,3049,314,32,1311,4271,6020,9605,3944,626,1120,6099,267,356,9762,1224,4015,7383,2592,3304,3934
"TCGA-62-8394-01A-11R-2326-07",895,1395,662,2782,2039,1657,370,3205,2797,1803,24894,652,1615,11410,1570,866,23,192,3236,2731,1465,767,3490,5319,3895,234,561,18491,797,1995,10675,3662,6689,3788
"TCGA-69-7761-01A-11R-2170-07",246,945,2523,525,4300,225,3994,5355,3545,1295,43482,1782,1023,4984,2618,412,7,431,1605,1275,1342,3371,321,44,16560,232,286,19115,376,2077,8106,3249,7507,2332
"TCGA-62-A46U-01A-11R-A24H-07",581,1427,3363,2280,3297,979,859,10982,3469,1464,54111,2725,1632,13387,5009,680,134,325,2464,1938,1551,1967,1971,3216,10271,172,676,26070,587,2140,8788,3326,7935,2606
"TCGA-97-8547-01A-11R-2403-07",140,327,340,554,1909,227,334,6011,1443,725,4701,1322,668,3987,1015,198,11,107,700,1234,788,1032,307,84,4514,70,61,9269,300,484,4965,2031,4157,2136
"TCGA-97-7554-01A-11R-2039-07",239,621,1487,844,4190,207,1654,17544,2721,1360,18915,1821,869,6069,1814,210,10,383,1629,2213,2819,2657,1346,107,10044,127,225,17204,425,1267,6803,3514,3210,2315
"TCGA-50-6673-01A-11R-1949-07",325,399,552,371,3285,162,497,6646,2776,1967,8476,868,621,4367,1186,242,21,376,1461,2052,2392,3281,625,207,9385,107,53,17492,510,1500,4591,2151,5463,1958
"TCGA-95-7039-01A-11R-1949-07",145,638,419,517,2060,105,808,23007,2592,936,9530,853,736,4089,2179,154,4,321,1525,1842,1766,1542,1170,227,6778,213,68,9020,468,1048,3435,1873,4947,2372
"TCGA-95-7944-01A-11R-2187-07",388,831,2559,1560,3053,1266,4252,15643,3048,2994,42838,18412,2237,3915,5323,525,396,349,3495,4143,3519,1581,1627,16609,9013,909,240,16780,434,2000,15161,3172,2871,7713
"TCGA-55-8301-01A-11R-2287-07",513,593,2100,1615,2756,2485,1182,9109,4476,1332,74426,3381,1156,4456,2731,190,173,1053,2478,2562,6003,1549,2244,4425,9530,406,294,13568,466,2893,15612,3070,3652,3888
