"","ENSG00000007968.7","ENSG00000080839.12","ENSG00000096968.14","ENSG00000101412.13","ENSG00000103479.16","ENSG00000105173.14","ENSG00000105810.10","ENSG00000110092.4","ENSG00000111276.11","ENSG00000112242.15","ENSG00000115415.20","ENSG00000118971.9","ENSG00000123374.11","ENSG00000124762.14","ENSG00000126561.17","ENSG00000129173.13","ENSG00000133101.10","ENSG00000133740.11","ENSG00000134057.15","ENSG00000135446.17","ENSG00000136997.21","ENSG00000139687.16","ENSG00000147883.12","ENSG00000147889.18","ENSG00000162434.13","ENSG00000164045.12","ENSG00000165891.16","ENSG00000168610.16","ENSG00000169016.17","ENSG00000170312.16","ENSG00000170581.14","ENSG00000173757.10","ENSG00000197122.12","ENSG00000205250.9"
"TCGA-67-3771-01A-01R-0946-07",448,419,732,705,1152,380,1213,957,1616,1360,20031,686,726,2995,1202,229,43,578,1322,2038,3763,2222,481,747,3909,127,103,11446,885,1596,6486,1980,5007,2306
"TCGA-J2-8192-01A-11R-2241-07",285,890,2102,456,9894,198,3319,22416,6813,2330,24987,7224,1275,19154,3327,402,61,258,965,2718,1112,4387,620,90,21903,93,184,37457,841,1155,11422,5505,4130,5076
"TCGA-38-4625-11A-01R-1758-07",28,325,2040,274,5508,25,960,6175,6177,511,10097,2854,752,13294,4224,20,79,278,249,2665,3564,3198,1448,132,10913,44,11,18894,633,212,4804,5520,4011,3705
"TCGA-55-A48Z-01A-12R-A24X-07",338,1278,907,2395,1698,1457,760,2589,2728,1657,21186,1514,1241,5637,1990,396,19,474,2352,1275,1296,1237,2083,5099,5834,207,325,13973,509,2075,7027,3284,5230,2556
"TCGA-97-8176-01A-11R-2403-07",271,466,374,862,1670,572,805,8230,2497,1667,5709,522,841,7114,733,676,34,187,3830,1979,1823,1385,667,45,7243,302,343,7413,625,1883,3836,1129,6700,3587
"TCGA-86-6851-01A-11R-1949-07",518,1250,2419,1414,5575,419,2079,33747,10257,2784,96359,4977,1347,7284,6801,534,3,827,1366,3199,1694,2097,316,95,16969,242,314,29395,1002,1391,23235,6526,8796,5162
"TCGA-50-5931-11A-01R-1858-07",16,162,1004,256,2836,18,949,12313,1693,289,5042,1980,655,8644,1479,3,7,151,105,871,3678,2047,3311,68,7336,17,2,13837,326,123,2021,2944,1713,1318
"TCGA-NJ-A4YI-01A-11R-A262-07",137,317,435,321,1554,119,229,8267,1996,524,5273,1564,749,1785,1022,58,3,305,490,1233,1177,754,630,226,6367,132,42,11523,503,208,4936,1470,2698,2231
"TCGA-97-7552-01A-11R-2039-07",190,641,3905,228,6207,109,2766,9460,5041,958,45709,2850,682,6813,3622,150,132,355,566,1302,2568,4639,1159,59,16448,113,120,21751,452,651,7021,5034,6654,2721
"TCGA-MP-A4T4-01A-11R-A262-07",554,631,1134,1198,3270,3255,1143,12434,2828,1546,49093,2497,883,3991,2284,312,144,444,1909,1727,4515,1258,1872,2763,8344,229,83,12008,613,2233,10912,3079,4806,3879
"TCGA-L4-A4E6-01A-11R-A24H-07",79,318,1099,436,3524,102,1406,5243,2704,778,7861,2396,608,5975,3633,41,23,204,315,1363,1581,2039,1927,59,8447,59,40,12227,397,288,7537,3215,3771,2610
"TCGA-44-5643-01A-01R-1628-07",410,711,536,1660,1989,651,1850,7418,7420,969,18939,8488,1426,2475,1956,637,5,570,4434,5840,10949,1908,1318,1543,4515,657,689,26146,974,4424,4637,1434,5044,2719
"TCGA-38-4626-01A-01R-1206-07",286,944,2173,1035,7532,296,1601,19602,6119,2502,27627,6095,2087,20952,4982,141,44,556,1504,4526,7905,5432,3229,998,26899,208,102,48077,1221,1281,16670,7132,7154,6456
"TCGA-55-6980-01A-11R-1949-07",83,220,419,182,2308,172,738,3920,1564,650,6229,1506,316,3375,1077,59,29,72,376,1477,1019,664,1236,284,6980,43,12,6980,239,222,3105,1631,1072,2145
"TCGA-MP-A4TD-01A-32R-A262-07",251,405,722,963,2872,140,665,2117,1870,1256,3366,2537,1067,5820,1589,144,9,1149,1518,2418,4155,1287,422,324,5294,127,38,16643,445,692,6541,4111,6154,3325
"TCGA-05-4244-01A-01R-1107-07",566,1573,872,1527,4925,485,417,35898,4214,1891,14765,969,1656,11282,2266,453,22,885,4018,3588,4631,2261,519,141,11041,256,559,18922,1275,1818,9992,4176,7953,4285
"TCGA-50-5930-11A-01R-1755-07",27,202,1172,216,2778,25,835,7382,2409,334,4442,3629,494,4869,2084,6,2,134,101,929,1706,1395,1309,18,9011,10,3,14897,286,114,2398,2540,2110,1594
"TCGA-44-6777-01A-11R-1858-07",208,540,1415,309,2281,126,1307,12120,2919,901,19419,2767,548,4746,2818,158,5,253,726,1810,1736,3259,536,121,14114,85,62,13504,350,831,4538,3938,2322,2030
"TCGA-44-6777-11A-01R-1858-07",61,238,920,249,2515,27,806,11244,2491,339,7475,4247,371,4715,1938,35,58,104,165,1052,834,1690,2188,67,8386,29,19,11653,211,199,2587,2743,1895,1588
"TCGA-05-4430-01A-02R-1206-07",275,394,1424,926,4435,362,1029,14978,5734,2051,23720,2026,1854,18279,2093,276,165,629,2246,7655,2223,3744,2917,1191,11325,224,180,21722,798,2098,6855,3664,4485,4160
"TCGA-05-4426-01A-01R-1206-07",443,1015,1434,1474,6718,383,1073,40252,6381,1887,23764,8398,2372,33162,2172,643,139,849,1774,5212,4207,2669,1887,1815,14384,253,190,24674,897,1738,8232,3567,5445,5609
"TCGA-44-6775-01A-11R-1858-07",465,1074,1350,1288,2254,575,868,5809,2198,1323,12467,2108,1027,9898,2220,615,10,199,1071,1693,1308,1423,2942,2535,10291,237,275,17870,686,1292,6143,2423,2917,1938
"TCGA-44-6775-01C-02R-A277-07",132,902,2231,81,2465,160,2538,1911,1253,1388,7838,4376,345,1387,378,284,9,252,203,206,717,1965,1753,414,6547,54,151,8464,400,517,2821,1012,282,326
"TCGA-05-4420-01A-01R-1206-07",1185,844,633,3413,2744,588,1727,18110,7981,3348,8073,534,2902,7086,2070,1390,4,1467,10466,15214,867,5402,588,428,7547,682,281,23914,2533,6154,8501,3989,6108,5722
"TCGA-55-8506-01A-11R-2403-07",386,527,342,1709,1472,227,127,40042,3450,779,16961,470,886,3272,1387,201,20,154,907,1927,1048,1570,1361,172,7752,115,60,18022,371,1718,7840,1996,3306,2403
"TCGA-44-7672-01A-11R-2066-07",490,938,1704,1500,3373,340,1458,14531,4467,1579,30388,3498,1115,6115,3039,449,66,464,3535,6392,2241,2539,927,584,12273,345,166,15879,641,1486,9093,3925,6670,4184
"TCGA-62-8402-01A-11R-2326-07",388,774,1216,963,2887,165,1218,12289,2116,1680,81077,926,1711,3215,2107,390,29,369,2118,3545,2757,2079,46,27,9429,718,410,15430,959,1683,16207,3150,9115,4874
"TCGA-86-8056-01A-11R-2241-07",169,808,2287,629,12409,146,1337,44665,4245,2423,16576,1467,1494,10240,2864,279,39,792,903,6072,3202,5108,2907,1163,18162,92,274,34724,1394,737,17295,5214,9186,4583
"TCGA-05-4422-01A-01R-1206-07",372,624,1824,1288,7031,431,4049,6714,7054,1052,37689,2371,1688,7762,2828,291,63,3316,2732,5107,17973,3085,638,230,7830,306,131,29407,974,2661,11764,5416,5731,5874
"TCGA-75-7027-01A-11R-1949-07",306,1138,1224,1395,6453,531,4913,19753,2419,3024,23749,1223,2503,12302,1724,845,36,1242,6540,4324,1745,6681,878,31,12556,807,967,17337,1808,6356,9007,4399,10318,8641
"TCGA-78-7535-01A-11R-2066-07",1785,1708,722,6041,1302,606,240,10032,2557,1786,4445,1255,1593,7328,1628,291,0,321,2721,871,917,2374,2929,7173,7546,278,128,15418,846,2258,3921,1454,7422,4454
"TCGA-50-8460-01A-11R-2326-07",150,189,508,413,3530,169,312,10727,1852,876,3810,2730,551,3253,1346,137,22,213,710,1721,969,1089,394,251,6187,104,36,14390,320,680,4758,1694,1945,2940
"TCGA-75-7031-01A-11R-1949-07",162,272,306,299,1276,76,779,1792,1068,678,12733,734,508,1460,867,117,35,949,911,1287,4301,728,150,139,2784,183,51,13134,242,499,2815,1262,1846,1634
"TCGA-L9-A444-01A-21R-A24H-07",207,317,1211,610,1800,83,611,12044,1840,1372,30690,2010,539,4755,1637,116,23,525,531,971,1094,1025,1103,145,6147,126,97,8411,455,684,9188,2391,4183,1906
"TCGA-73-4666-01A-01R-1206-07",844,1789,2119,5156,6749,546,9424,14843,7263,2531,76125,1182,4136,5159,3257,2019,861,453,10582,8762,8589,3931,2016,5511,13987,535,1196,29993,1625,6674,10184,2261,16469,9787
"TCGA-86-7953-01A-11R-2187-07",1346,966,817,4342,6094,9614,3759,5834,4426,2771,12972,1982,1673,7935,3080,685,24,810,6242,7113,2124,2422,6120,9740,17331,326,424,18967,1369,4042,6786,4600,3275,4244
"TCGA-86-A4D0-01A-11R-A24H-07",1598,996,473,2580,3906,102,2493,9544,2875,2041,11787,883,1785,1335,471,786,4,2179,7123,4287,7539,1696,607,265,7327,1233,170,11546,789,4882,3802,1842,4547,4493
"TCGA-55-6983-01A-11R-1949-07",320,615,1522,639,3416,193,1090,9914,2653,1169,13401,3180,1097,11688,2952,386,157,744,1475,3412,1972,4671,1462,172,13623,199,91,28032,752,763,6881,5000,5392,3487
"TCGA-NJ-A4YQ-01A-11R-A262-07",148,389,661,729,2728,268,533,7091,2298,1134,21097,1949,825,1606,1563,265,16,498,1293,1681,1120,1181,705,436,6388,120,342,9323,721,684,5986,2477,2418,2336
"TCGA-44-6145-01A-11R-1755-07",195,808,1376,607,3677,560,1254,11500,3261,1411,38628,1268,1281,4037,2277,351,27,131,792,1753,1246,2108,1799,1576,11090,102,98,17944,427,1261,5960,2942,3845,2567
"TCGA-91-8496-01A-11R-2403-07",35,143,594,229,5334,47,192,3475,3805,295,3822,198,649,3214,1065,29,15,234,349,1946,379,1305,525,302,4605,33,11,6761,378,410,2053,1424,1348,2758
"TCGA-67-3772-01A-01R-0946-07",100,438,735,209,3698,74,781,5683,4905,572,13084,885,808,10425,1414,142,30,470,582,3143,658,3483,222,47,5094,55,35,14769,607,1028,3468,2124,3372,2684
"TCGA-55-7281-01A-11R-2039-07",124,369,671,366,1391,186,473,18571,2396,1243,12311,1718,609,8561,1913,94,22,174,627,1780,1676,2207,2768,127,9167,123,68,15255,460,528,4682,2144,4550,1978
"TCGA-05-4424-01A-22R-1858-07",215,825,1053,1061,3528,880,1379,3905,2373,1453,20989,1205,1074,2817,1545,636,13,403,2085,2771,1862,2430,1966,244,13023,215,138,29670,572,1675,4768,3437,3278,2194
"TCGA-69-A59K-01A-11R-A262-07",704,835,1316,1528,4486,777,1184,23640,8870,1700,24468,1447,1775,3461,1402,161,240,727,1406,2962,3090,2812,663,972,8329,379,114,11957,746,962,7065,2770,4507,3847
"TCGA-75-7025-01A-12R-1949-07",121,399,1508,253,8242,95,1535,9990,4956,1119,18405,3649,1307,5993,2620,215,182,426,505,1620,1370,2797,2662,533,10511,96,163,18669,822,483,10658,3610,4633,4985
"TCGA-44-4112-01A-01R-1107-07",348,547,812,980,2122,312,1347,14176,5405,1791,10222,636,1592,9479,1095,211,32,748,6717,4494,5417,3906,1313,263,7466,112,260,21655,729,3236,5882,3190,3091,2690
"TCGA-44-3918-01A-01R-1107-07",309,946,2231,640,3481,343,834,12006,5263,2197,50455,1953,2000,9754,2502,320,10,1774,3512,5033,3558,3920,575,152,8760,170,107,15254,1360,1911,10099,3652,3006,4800
"TCGA-55-8514-01A-11R-2403-07",59,278,480,563,1527,106,127,6866,1474,902,9968,369,344,1311,1124,105,7,523,203,1213,933,917,880,568,4429,26,8,17690,282,185,6710,2312,4551,3151
"TCGA-44-4112-01B-06R-A277-07",119,646,1437,96,2579,62,3097,8685,1897,1020,9199,3327,462,1338,476,101,6,482,584,345,1427,2773,838,43,6668,67,229,8774,368,787,3725,1687,651,397
"TCGA-44-3918-01A-01R-A278-07",217,1913,4062,147,4539,108,2129,9159,4052,1568,55981,3066,1374,2453,1044,227,12,1623,2707,1960,1840,4199,473,63,10910,142,92,13071,1058,1943,11098,2657,737,1347
"TCGA-95-8494-01A-11R-2326-07",414,671,326,1586,1516,311,611,6282,2114,692,5704,471,1060,3529,622,291,163,391,3663,2666,4614,1381,523,695,3896,159,368,8364,397,2057,3246,1842,3530,2864
"TCGA-05-4395-01A-01R-1206-07",372,503,687,1461,5298,893,6213,16085,9157,1940,31922,787,2751,4624,2471,317,42,1142,6993,8612,19314,2926,7158,8711,16072,475,368,32537,1708,4566,8209,4506,3488,14414
"TCGA-93-A4JQ-01A-11R-A24X-07",306,914,1709,1311,4182,436,2326,6139,3192,1269,34354,3609,1241,6058,3436,388,38,658,1545,2070,2496,2477,577,79,11426,198,538,18531,505,1285,13332,5131,6105,3866
"TCGA-44-8117-01A-11R-2241-07",241,1636,810,2272,5375,150,574,41695,8068,2558,16547,1011,1595,5131,1031,319,4,602,2327,4058,2421,3307,2819,407,19415,172,191,17793,967,1687,12560,4073,13905,3428
"TCGA-55-8204-01A-11R-2241-07",775,1011,1227,429,3221,427,4269,8766,3055,1660,19360,7065,914,9729,1363,557,541,276,2137,2348,12891,5480,2201,895,10653,319,308,20017,659,3645,5737,2017,5884,3641
"TCGA-50-5933-11A-01R-1755-07",23,238,1552,224,4755,20,1161,7453,1185,513,6709,2081,897,27405,2111,26,244,197,157,952,9338,3049,1374,28,12345,34,15,33463,534,175,3315,3959,1584,2249
"TCGA-50-5933-01A-11R-1755-07",263,874,1192,1005,4706,521,1968,22981,2156,1923,17515,1169,961,7440,2260,484,5,857,2318,2315,7964,3306,431,173,8709,456,161,12055,438,1762,4549,2576,3490,3471
"TCGA-MN-A4N1-01A-11R-A24X-07",801,793,322,2553,1922,528,1788,28133,3745,1408,6198,406,1081,12133,1261,250,43,308,2558,2736,1792,1118,486,289,7418,272,284,12337,943,2425,8892,2020,5779,4796
"TCGA-55-7903-01A-11R-2170-07",611,612,1321,1429,3394,328,468,25805,4977,1424,17185,1170,1352,3878,1520,303,0,556,2670,2729,4032,1890,913,311,7388,458,426,18161,630,2212,8315,2992,5490,2649
"TCGA-86-8669-01A-11R-2403-07",106,455,510,392,4500,112,558,6114,2871,384,6955,1364,902,2276,626,86,0,860,578,2021,1866,1370,599,471,5021,90,68,17031,530,345,3927,3362,5189,3187
"TCGA-55-6970-01A-11R-1949-07",519,1151,2055,1308,4676,781,1929,20358,4211,3143,70680,1828,993,10563,2105,864,37,1145,3075,2019,3846,5511,1599,142,12259,394,149,25887,884,3743,9406,3476,5299,2552
"TCGA-50-6594-01A-11R-1755-07",71,449,675,817,2104,853,899,6194,1419,491,15172,486,897,1578,1202,314,1,222,2266,1899,372,1379,210,988,3822,128,120,10279,542,1627,2677,1916,2653,2794
"TCGA-86-8075-01A-11R-2241-07",815,1200,1578,1980,3898,2200,2950,10022,6028,4723,26510,2415,1795,11070,2769,660,38,429,2737,3047,2169,2890,3993,2868,13296,341,498,34988,1167,2032,13827,4277,6891,3478
"TCGA-MP-A4TF-01A-11R-A262-07",205,607,1832,564,3685,203,1011,39869,2185,1429,20687,754,1067,8362,675,154,35,598,1755,1482,811,1134,194,26,6192,141,516,8337,603,734,6777,2226,1898,4783
"TCGA-69-7760-01A-11R-2170-07",143,480,179,379,4003,758,1168,12179,2244,1027,6809,3004,1722,3142,595,266,4,229,2860,2677,3439,1580,479,552,5718,386,321,13085,729,1121,3490,2089,2995,5218
"TCGA-78-7161-01A-11R-2039-07",85,378,635,516,3074,123,431,7031,1334,2009,11627,961,1189,7193,683,175,1,1755,701,1997,1389,2313,773,56,11655,225,232,32115,1396,824,9294,5059,4054,6354
"TCGA-44-6148-01A-11R-1755-07",34,388,1062,203,4205,44,1932,12457,2772,454,5502,7457,628,9268,2524,230,401,352,261,1428,2244,2632,347,156,8334,53,86,17807,358,129,4499,5396,3681,2086
"TCGA-91-6849-01A-11R-1949-07",43,143,417,106,1795,41,331,2554,1019,573,4645,631,225,5821,614,34,88,214,155,943,2415,1037,318,192,4418,13,14,13838,414,87,2854,1434,1302,1276
"TCGA-99-8033-01A-11R-2241-07",700,1445,1459,2852,4358,1728,1359,40967,7307,3865,95859,2078,3479,6620,2784,930,755,896,3984,4797,4462,925,1992,5674,10396,688,254,28783,1484,4456,15848,4125,7186,9359
"TCGA-55-8205-01A-11R-2241-07",659,2305,3318,2228,6321,1023,4782,19248,5510,2192,68063,2565,1857,5341,4093,2076,52,886,8218,4670,6092,4972,1474,6708,15505,841,676,15859,1111,7714,13148,4540,5401,7402
"TCGA-55-8510-01A-11R-2403-07",205,546,768,924,1729,362,645,11110,2040,958,16560,1366,688,4170,1965,157,17,270,1046,1265,1510,1625,1722,1741,7067,138,102,9486,521,874,5769,2960,5001,3167
"TCGA-91-6828-11A-01R-1858-07",33,208,1319,173,3675,19,1053,7176,1976,326,7816,2587,720,11107,1483,50,360,226,164,825,2974,2313,1255,28,8238,14,22,17233,392,151,2938,3012,1663,1773
"TCGA-50-5049-01A-01R-1628-07",242,880,2015,654,2300,234,1689,8440,3856,775,29466,1560,698,4026,2616,268,25,523,1059,2458,2049,3707,549,231,6083,173,68,10456,477,1844,4341,2644,3604,2275
"TCGA-99-7458-01A-11R-2039-07",290,626,2286,317,6947,140,1469,27279,4767,1598,32897,3677,763,2902,2754,229,110,693,1412,1705,1747,3201,2045,353,19384,114,85,20920,840,1248,6424,5516,3560,3116
"TCGA-49-AARR-01A-11R-A41B-07",102,292,1364,235,3362,73,1276,4800,2325,530,9158,2626,654,8019,2215,248,680,354,313,1152,2522,1936,559,130,7699,78,147,15691,375,395,6595,3437,2718,2671
"TCGA-MP-A4TC-01A-11R-A24X-07",243,735,1653,2426,1917,466,2328,23848,2256,1212,31798,1639,1089,3620,1945,329,17,548,2112,2117,5409,1021,2457,6518,9722,428,142,13286,589,2299,8503,2777,2834,3818
"TCGA-91-6847-01A-11R-1949-07",657,3113,434,2556,2423,1164,10286,4819,6241,5208,17899,512,3180,7889,2785,498,13,1892,6276,3446,3374,1851,8211,7194,8331,798,2165,16451,1250,3268,7818,5403,10512,2179
"TCGA-49-AARQ-01A-11R-A41B-07",678,1284,1117,5871,677,1009,403,315,2146,1811,10087,632,2296,3826,1171,484,22,162,3782,509,420,1081,1410,14422,2974,656,229,14898,822,1860,7959,1551,3587,8580
"TCGA-91-6847-11A-01R-1949-07",15,216,855,273,2771,10,1143,9468,2136,139,3965,3356,419,2111,1226,18,169,188,131,763,384,1287,1814,22,5513,18,24,10912,230,93,2342,2358,2244,1349
"TCGA-93-A4JN-01A-11R-A24X-07",1427,1760,952,6050,3277,1915,1532,6035,5048,3482,24962,2174,2252,9469,1849,1006,16,432,1708,2418,1371,1419,1526,1684,10656,536,1216,14577,1030,2202,14336,3016,9622,4244
"TCGA-95-A4VP-01A-21R-A262-07",235,326,506,1019,1482,238,881,3108,1277,933,7933,2001,1027,10080,1480,128,6,434,2111,1232,2426,1059,820,101,5617,167,34,12089,310,1264,8216,2717,4473,3068
"TCGA-69-8453-01A-12R-2326-07",221,455,1630,572,3375,239,1754,7619,2554,811,16594,1805,807,13275,3250,332,227,223,1071,1803,3917,2494,912,92,9954,276,167,15433,393,970,6457,3372,5075,3269
"TCGA-55-8513-01A-11R-2403-07",80,230,1141,145,2513,58,968,3760,2028,418,10046,1292,429,4708,2205,77,126,214,273,778,1662,1562,1180,23,6890,49,72,12126,231,201,7823,2257,4246,1778
"TCGA-55-6975-11A-01R-1949-07",40,192,742,226,3463,28,836,3725,1323,286,4143,2635,477,5512,1011,28,13,132,150,739,2539,1281,1141,24,6171,41,26,11123,233,213,2628,2424,1242,1189
"TCGA-86-8278-01A-11R-2287-07",499,1141,1842,1150,11566,341,812,23945,6232,1999,23846,2958,2199,10377,2624,506,351,733,1940,4822,3659,4297,2376,231,10389,177,242,55944,927,1037,19001,3134,6580,5884
"TCGA-75-6203-01A-11R-1755-07",100,317,993,278,2954,50,1224,6968,2165,426,7777,3366,445,3845,2084,74,12,159,367,1102,551,1925,1405,119,8008,64,43,11190,219,323,2962,2297,1810,1753
"TCGA-49-6743-01A-11R-1858-07",1013,1098,684,2415,1734,1360,660,3463,2689,1884,18113,740,1680,7608,1454,419,1,188,3527,1727,965,1000,5542,2146,9939,190,332,23730,1152,1929,6666,2773,2186,1536
"TCGA-55-7574-01A-11R-2039-07",136,320,1034,336,2712,154,689,8741,2539,712,10463,1388,635,4099,1404,132,3,275,721,1051,2124,1633,428,78,6531,80,40,10699,218,385,5281,2753,1478,1726
"TCGA-78-8655-01A-11R-2403-07",81,229,721,333,3247,93,879,13227,4121,1354,8105,666,726,5172,1268,220,1,216,678,1511,1287,1862,309,27,8646,136,48,10141,394,334,5474,1568,3192,2645
"TCGA-05-4389-01A-01R-1206-07",464,1140,832,2732,3615,396,2216,18466,4865,2025,36044,1480,2106,10318,2077,418,11,544,2523,8374,5072,2720,1202,379,9066,337,136,19340,1859,3196,6147,3812,13355,4615
"TCGA-86-7701-01A-11R-2170-07",336,514,659,420,1704,105,975,4827,1524,464,7527,1896,531,1025,729,245,7,343,1769,1027,1219,1591,255,34,4373,156,181,7533,277,1383,2847,1438,1345,1357
"TCGA-91-6831-11A-02R-1858-07",8,180,1317,74,2309,14,1094,6276,1490,248,5165,2005,488,7951,899,9,5,90,61,439,2676,1883,2002,50,5785,9,2,9310,255,94,2056,2067,922,836
"TCGA-38-4627-11A-01R-1758-07",48,179,1467,391,2694,49,1229,9941,3708,461,8829,2434,714,10027,2158,18,9,193,344,2457,1908,3654,2088,68,6732,49,19,11897,498,525,2670,3202,2104,2334
"TCGA-91-6831-01A-11R-1858-07",801,515,739,1763,2448,163,1278,36249,3513,1149,11940,1051,1124,3298,818,1058,9,374,4171,2664,368,2274,207,34,5405,496,125,13376,747,2310,3414,2060,2025,2709
"TCGA-55-7728-01A-11R-2187-07",321,500,2354,528,2905,289,1345,5114,2014,1285,11318,3260,1609,12290,3464,186,35,396,998,1793,1303,1838,3261,205,9300,159,97,11858,508,824,17265,4625,13261,4540
"TCGA-97-A4M0-01A-11R-A24X-07",141,480,975,446,4186,138,654,11115,5091,475,23439,4974,936,1447,2518,83,23,422,919,1653,2627,1997,430,173,12639,61,58,16402,661,738,10915,3741,5292,2393
"TCGA-44-5645-11A-01R-1628-07",81,326,1649,522,4560,32,2012,19073,4577,364,9121,3318,766,2360,2714,17,111,211,203,1647,659,2569,4007,61,10498,37,29,14726,420,249,4326,4767,3985,2975
"TCGA-44-5645-01A-01R-A278-07",172,1081,2864,258,6688,37,2579,19926,4153,343,15398,13175,680,4038,1970,424,21,352,682,1290,831,2113,2124,531,12518,118,146,22255,638,508,5531,4322,1484,3470
"TCGA-50-6593-01A-11R-1755-07",247,362,524,515,1788,182,517,21167,1671,1000,6944,1149,520,3223,1449,207,13,387,1189,1264,1613,1492,860,197,6943,180,48,9232,340,1423,3330,1767,3258,2061
"TCGA-44-5645-01A-01R-1628-07",98,472,1266,249,4158,54,852,12638,2547,417,9514,5682,604,5586,2078,356,30,255,465,1232,703,1788,1477,779,8429,67,160,14138,462,405,3556,3337,2343,3598
"TCGA-86-6562-01A-11R-1755-07",210,679,737,620,3236,251,2393,12828,3426,866,10854,1012,871,8639,1310,454,3,199,889,1984,1395,2088,317,20,6662,121,222,16639,552,1160,5337,2673,2911,2098
"TCGA-62-A46S-01A-11R-A24H-07",111,305,1607,443,4186,164,1326,6379,2204,625,9233,1226,718,4539,1443,63,2,3240,783,1181,5260,2235,1002,292,7302,64,119,18018,676,542,7462,3296,4373,3220
"TCGA-44-2666-01A-01R-A278-07",178,707,1843,1087,5005,176,940,9460,2931,814,20715,1087,900,3365,928,156,14,525,854,2182,7263,3198,823,175,10023,117,192,16093,466,1602,6569,1814,2331,1992
"TCGA-86-A4JF-01A-11R-A24X-07",650,1250,799,1316,1487,396,593,8412,7013,1984,33506,1025,1809,4721,1403,684,5,202,3419,2780,1707,2439,406,53,8587,349,144,16408,659,2319,12932,2124,3906,4868
"TCGA-55-6985-11A-01R-1949-07",73,567,2496,308,5940,65,2344,8712,4629,706,12328,4395,985,15424,3174,57,263,305,331,1370,2747,3658,2893,178,13798,77,71,19395,526,370,6770,5304,3242,2671
"TCGA-J2-A4AE-01A-21R-A24H-07",329,793,980,1734,2277,473,418,2279,2220,1244,7830,1548,1384,11580,1312,448,80,367,734,1182,2397,847,873,1606,5862,216,220,12992,570,1025,6741,1865,3461,2251
"TCGA-55-8087-01A-11R-2241-07",70,469,1048,244,9936,85,844,9295,4622,1353,9304,1921,1600,2497,2054,179,4,971,612,3911,803,3281,2983,1404,17224,111,67,36834,1004,316,9064,5666,6832,3857
"TCGA-78-7542-01A-21R-2066-07",762,1730,2043,3181,5930,564,7102,76493,3043,2025,62362,1666,2401,22105,2227,984,65,525,8492,3945,4212,4013,345,25,14869,838,4736,26269,612,4064,15505,2684,10516,7911
"TCGA-78-7148-01A-11R-2039-07",356,452,586,887,3130,308,763,19606,4242,1000,14205,927,888,3414,927,679,17,349,2357,2312,1543,2995,893,537,10782,278,188,14801,562,1725,5448,2417,5800,2206
"TCGA-55-A493-01A-11R-A24H-07",524,975,1063,2805,2415,1976,3005,8727,2724,995,24864,1581,1662,5848,2375,565,90,683,5939,3226,6745,1669,421,1201,8922,323,843,12243,709,2351,8373,3560,5523,3866
"TCGA-91-A4BC-01A-11R-A24H-07",571,652,1020,2364,2003,345,859,3834,2249,1228,14483,2192,816,3047,1647,139,2,1071,2002,1337,583,1790,162,166,5247,210,131,7293,423,780,6791,3708,2999,3758
"TCGA-05-4432-01A-01R-1206-07",879,1709,803,3944,4154,481,1668,14607,5030,1652,42143,3895,2630,4725,2111,654,12,1036,3154,5853,2389,2741,1156,1124,11318,451,447,31086,1544,2981,7441,5724,8505,4698
"TCGA-55-6712-01A-11R-1858-07",249,387,606,454,2513,162,2199,14294,3068,777,28999,933,483,2209,730,236,32,239,1280,1448,1521,1135,815,502,11449,124,228,7214,262,1080,4390,1292,1412,1409
"TCGA-4B-A93V-01A-11R-A39D-07",266,594,324,1860,2135,388,1118,8479,2161,1250,7101,813,982,4360,745,62,4,1011,2036,2602,2528,485,721,11901,2993,148,57,12798,460,778,2633,3353,4271,5091
"TCGA-93-7347-01A-11R-2187-07",329,466,1254,389,4139,268,1154,16010,4132,1095,21978,4485,889,5023,3849,136,57,531,952,3998,2910,2342,3018,119,17839,178,104,20198,680,1025,8078,4121,4132,3375
"TCGA-50-5936-01A-11R-1628-07",147,256,463,684,1959,241,744,6097,2121,1067,6265,627,802,3572,775,388,0,413,1834,1644,1901,1402,847,506,4918,101,132,11770,492,1334,3237,1974,2042,2095
"TCGA-86-8668-01A-11R-2403-07",125,338,672,279,2370,61,387,13402,2667,675,6401,8923,238,2396,1670,73,14,213,300,1199,328,1216,161,17,5179,41,38,18516,362,437,3955,2899,2191,1319
"TCGA-55-6984-11A-01R-1949-07",38,458,1730,556,5466,34,2991,18155,4432,424,14291,8934,1131,8438,2858,42,304,378,269,1466,1441,2753,4695,82,10513,35,33,19272,518,240,6531,4466,5052,2427
"TCGA-MP-A4TI-01A-21R-A24X-07",449,722,1908,967,2224,280,3214,14399,3494,1342,34720,2979,1635,10483,3342,379,212,401,3555,4826,3419,1988,1658,1189,9483,389,841,11016,411,2345,15455,2996,3389,3734
"TCGA-69-8254-01A-11R-2287-07",472,580,2084,724,8767,263,1761,37523,6656,1194,36008,2968,1153,13891,3845,622,325,542,951,3100,4028,4142,7397,732,19286,140,142,32654,853,1011,12921,4642,17394,6101
"TCGA-64-1678-01A-01R-0946-07",211,324,178,1069,422,166,410,8677,4562,591,3788,72,944,1009,81,380,12,908,7252,4814,1264,1088,86,184,546,241,38,3471,709,6952,1334,640,514,1399
